user_id,first_name,last_name,answer_1,answer_2,answer_3
1.0,Charissa,Clark,yes,c,7.0
2.0,richard,McKinney,yes,b,7.0
3.0,patience,reeves,yes,b,9.0
4.0,Harding,Estrada,no,b,14.0
5.0,India,Gentry,yes,c,7.0
6.0,Abra,Sheppard,yes,b,6.0
7.0,Bryar,cooley,yes,a,11.0
8.0,Diana,Cameron,yes,b,9.0
9.0,Alexander,Herring,no,b,4.0
10.0,Graiden,Cannon,no,b,13.0
11.0,Uma,Glass,yes,a,2.0
12.0,Brittany,Weeks,yes,b,8.0
13.0,Roth,Stout,yes,c,10.0
14.0,Amos,Daniel,yes,a,5.0
15.0,Caesar,Rivers,yes,b,7.0
16.0,Eugenia,Nichols,yes,b,6.0
17.0,dieter,alvarado,yes,b,6.0
18.0,Roary,Frank,yes,c,7.0
19.0,Ulric,Hensley,no,b,9.0
20.0,Felicia,Wilkins,yes,b,8.0
